message;severity;node;stamp;topics;location
"Publishing tf";"1";"/map_merge";"75.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::executeposePublishTf:404"
"Origin of updated grid -10.000000, -10.000000";"1";"/map_merge";"74.785000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::fullMapUpdate:233"
"Merged map origin 0.000000, 0.000000";"1";"/map_merge";"74.161000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:186"
"all maps merged, publishing";"1";"/map_merge";"74.161000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:181"
"Complete corner 7, 1 width 384 and height 384";"1";"/map_merge";"74.161000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:209"
"Complete corner -7, 1 width 384 and height 384";"1";"/map_merge";"74.161000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:209"
"Corner 7, 1 width 384 and height 384";"1";"/map_merge";"74.161000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/grid_compositor.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::internal::GridCompositor::compose:61"
"Corner -7, 1 width 384 and height 384";"1";"/map_merge";"74.161000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/grid_compositor.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::internal::GridCompositor::compose:61"
"compositing result grid";"1";"/map_merge";"74.161000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:196"
"Translation of transform 1 is -7.000000, -1.000000";"1";"/map_merge";"74.161000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:184"
